pmid,cid,chem,outcome
36215882,7881,Di-n-butyl phthalate,Reproductive
34015706,7881,di-n-butyl phthalate,Reproductive
36230992,7881,Di-n-Butyl Phthalate,Reproductive
34280466,7881,Di-n-butyl phthalate,Reproductive
32388187,7881,Di-n-butyl phthalate,Reproductive
35955852,7881,Di-N-Butyl Phthalate,Reproductive
35919841,7881,di-n-butyl phthalate,Reproductive
32073305,7881,Di-n-butyl Phthalate,"Reproductive, Cognitive"
35931390,7881,Di-N-Butyl Phthalate,Respiratory
33354277,7881,Di-N-butylphthalate,"Reproductive, Cell damage"
35688051,8346,Di-n-octyl phthalate,Cancer
33792735,8346,Di-n-octyl phthalate,"Reproductive, Cognitive"
36115423,8346,Di-n-octyl phthalate ,Reproductive
32220816,8346,di-n-octylphthalate,Cardio-vascular
34015666,92302,di-o-cresyl phosphate,Thyroid
34015666,92302,di-p-cresyl phosphate,Thyroid
34793805,8343,di(2-ethylhexyl) phthalate,Metabolic
34793805,606456,di(2-ethyl-5-hydroxyhexyl) phthalate,Metabolic
36423848,8343,Di(2-ethyl-hexyl) phthalate,Reproductive
33010548,8343,Di(2-ethyl-hexyl) phthalate,"Reproductive, Genetic"
34678253,8343,di(2-ethylhexyl) phthalate,Cardio-vascular
33129247,8343,di(2-ethylhexyl) phthalate,Cardio-vascular
32239407,8343,di(2-ethylhexyl) phthalate,Cell damage
36209858,8343,Di(2-ethylhexyl) phthalate,Digestive
33986952,8343,di(2-ethylhexyl) phthalate,Genetic
32802189,8343,di(2-ethylhexyl) phthalate,Metabolic
36116648,8343,di(2-ethylhexyl) phthalate,Metabolic
35861430,8343,di(2-ethylhexyl) phthalate,Metabolic
36068761,8343,di(2-ethylhexyl) phthalate,Metabolic
36247333,8343,di(2-ethylhexyl) phthalate,Metabolic
35457000,8343,di(2-ethylhexyl) phthalate,Metabolic
32303808,8343,di(2-ethylhexyl) phthalate,Neurological
33496947,8343,di(2-ethylhexyl) phthalate,Neurological
34942354,8343,di(2-ethylhexyl) phthalate,Reproductive
34375942,8343,di(2-ethylhexyl) phthalate,Reproductive
36220427,8343,di(2-ethylhexyl) phthalate,Reproductive
32165126,8343,di(2-ethylhexyl) phthalate,Reproductive
36435455,8343,di(2-ethylhexyl) phthalate,Reproductive
32787440,8343,di(2-ethylhexyl) phthalate,Reproductive
23041310,8343,di(2-ethylhexyl) phthalate,Reproductive
33502250,8343,di(2-ethylhexyl) Phthalate,"Reproductive, Behavioral, Neurological"
33162236,8343,Di(2-ethylhexyl) phthalate,"Reproductive, Cell damage"
34141151,8343,Di(2-Ethylhexyl) Phthalate,Tumors
32678732,22932,di(2-ethylhexyl) terephthalate,Reproductive
33736212,8343,Di(2-ethylhexyl)phthalate,Cell damage
35119524,8343,Di(2-ethylhexyl)phthalate,Cognitive-Behavioral
33959150,8343,Di(2-ethylhexyl)phthalate,Genetic
34595713,8343,Di(2-ethylhexyl)phthalate,"Genetic, Metabolic"
34822691,8343,Di(2-ethylhexyl)phthalate,Pregnancy
35504341,8343,Di(2-ethylhexyl)phthalate,Pregnancy
25649163,8343,di(2-ethylhexyl)phthalate,Reproductive
35842051,8343,Di(2-ethylhexyl)phthalate,Reproductive
34426375,8343,Di(2-ethylhexyl)phthalate,Thyroid
